classID;tasa_cruce_cero;entropia_espectograma;avg_centroide_espectral;mfcc_1;mfcc_2;mfcc_3;mfcc_4;mfcc_5;mfcc_6;mfcc_7;mfcc_8;mfcc_9;mfcc_10;mfcc_11;mfcc_12;mfcc_13
3;1947;6.7166595;2503.702337476539;-275.91843;119.4928;-98.21178;-66.51514;-42.60605;0.5050656;-28.330938;-5.746867;9.9927845;4.795411;15.461894;-0.069880106;-2.8426735
2;27607;9.991457;2339.22180442724;-500.9084;185.10641;-86.53282;49.85885;9.230822;22.548956;-3.5671747;12.220052;7.720082;-6.460391;16.995657;-6.625116;1.4697789
2;20971;9.728703;2070.8268628416213;-531.1953;186.93994;-70.34916;40.429245;9.121047;18.398588;6.2832823;15.504061;9.613501;-7.11361;16.179823;-5.710522;-0.8992513
2;26200;9.046845;2879.6382000777744;-476.78442;160.33328;-62.952843;50.75117;-0.17432971;32.7916;-17.4698;24.755478;-3.8477833;-1.761176;14.020372;-11.238716;6.290466
2;25189;10.048405;2197.598874472893;-521.2447;185.39265;-81.95047;46.47355;11.872088;23.491444;4.261836;13.637701;6.093238;-2.8134532;18.077288;-7.2573457;-2.8493736
2;16808;9.056795;2086.403158958129;-516.3212;178.77928;-60.33852;47.640453;11.501935;20.880335;8.220909;13.267728;10.838386;-4.754242;14.395511;-5.77516;3.391187
2;17056;9.527229;2096.322962442637;-547.3493;182.02466;-59.242584;53.34855;6.8247614;23.768806;6.937395;10.895924;7.7600994;-4.0517797;13.999423;-4.7169795;1.6775333
2;16826;9.430789;2151.7523328383845;-534.76227;179.51143;-60.048912;52.112957;-0.11334052;19.544;11.053799;15.343572;13.507726;-3.3896506;15.292861;-4.018923;2.720641
2;16922;9.358807;1964.420525363348;-541.4183;186.04233;-59.519886;44.076088;16.00529;13.10625;14.272353;12.96127;11.345913;-0.34224698;13.776045;-4.391973;0.6533326
1;3700;7.9131165;2617.980433230019;-255.81581;159.60295;-33.60496;37.659565;-47.337612;26.38516;-37.041096;-8.067472;-22.695475;2.6093097;-10.705148;-11.321211;-7.0653815
